日付,クリック数,表示回数,CTR,掲載順位
2025-10-15,238,6604,3.6%,13.5
2025-10-16,230,6327,3.64%,12.7
2025-10-17,307,7062,4.35%,13
2025-10-18,246,6996,3.52%,12.8
2025-10-19,265,6781,3.91%,12.4
2025-10-20,256,6851,3.74%,12.4
2025-10-21,228,6972,3.27%,13
2025-10-22,241,6659,3.62%,12.9
2025-10-23,260,6787,3.83%,13.2
2025-10-24,227,6009,3.78%,13.4
2025-10-25,260,6128,4.24%,13.8
2025-10-26,251,6566,3.82%,13.7
2025-10-27,246,6581,3.74%,13.1
2025-10-28,287,6749,4.25%,13.7
2025-10-29,299,7049,4.24%,12.9
2025-10-30,287,6851,4.19%,12.4
2025-10-31,250,6818,3.67%,11.9
2025-11-01,244,7105,3.43%,10.6
2025-11-02,319,7955,4.01%,12.1
2025-11-03,299,7795,3.84%,12.9
2025-11-04,274,7861,3.49%,12.1
2025-11-05,250,8051,3.11%,12.4
2025-11-06,252,7485,3.37%,11.7
2025-11-07,226,7160,3.16%,11.7
2025-11-08,246,7118,3.46%,10.5
2025-11-09,231,7037,3.28%,11.1
2025-11-10,243,7384,3.29%,12.5
2025-11-11,240,7125,3.37%,12.3
2025-11-12,262,7315,3.58%,11.9
2025-11-13,253,7559,3.35%,11.8
2025-11-14,275,7255,3.79%,12.1
2025-11-15,251,7535,3.33%,12
2025-11-16,270,7316,3.69%,12.1
2025-11-17,252,6957,3.62%,10.3
2025-11-18,264,6627,3.98%,10.1
2025-11-19,246,7593,3.24%,13
2025-11-20,295,8740,3.38%,13.2
2025-11-21,256,7796,3.28%,11.5
2025-11-22,323,7981,4.05%,11.5
2025-11-23,315,7872,4%,12
2025-11-24,284,7816,3.63%,12.2
2025-11-25,255,6908,3.69%,12.4
2025-11-26,266,7658,3.47%,13.7
2025-11-27,269,7899,3.41%,13.2
2025-11-28,208,8580,2.42%,15.5
2025-11-29,220,7678,2.87%,14.7
2025-11-30,218,8188,2.66%,13.8
2025-12-01,217,7284,2.98%,13
2025-12-02,230,6291,3.66%,12.2
2025-12-03,233,8561,2.72%,14
2025-12-04,187,6941,2.69%,13.4
2025-12-05,170,8627,1.97%,14.7
2025-12-06,198,7719,2.57%,14.3
2025-12-07,206,7710,2.67%,14.8
2025-12-08,211,7856,2.69%,14.6
2025-12-09,188,7171,2.62%,14.1
2025-12-10,195,7298,2.67%,13.3
2025-12-11,192,8698,2.21%,14.6
2025-12-12,199,6955,2.86%,13.6
2025-12-13,162,6823,2.37%,13.4
2025-12-14,185,6881,2.69%,15.1
2025-12-15,185,6411,2.89%,13.9
2025-12-16,199,5891,3.38%,12.1
2025-12-17,195,6331,3.08%,13.3
2025-12-18,171,7340,2.33%,16
2025-12-19,146,6402,2.28%,14.6
2025-12-20,164,6524,2.51%,14.7
2025-12-21,182,6708,2.71%,15
2025-12-22,160,5749,2.78%,13.2
2025-12-23,142,6805,2.09%,14.2
2025-12-24,183,7343,2.49%,14.4
2025-12-25,189,6834,2.77%,14.6
2025-12-26,203,8061,2.52%,14.9
2025-12-27,258,7486,3.45%,12.5
2025-12-28,282,9062,3.11%,14.3
2025-12-29,306,9647,3.17%,14.3
2025-12-30,253,8848,2.86%,13.8
2025-12-31,211,8971,2.35%,16
2026-01-01,223,8215,2.71%,13.5
2026-01-02,204,7473,2.73%,14
2026-01-03,147,6935,2.12%,14.7
2026-01-04,186,7595,2.45%,15
2026-01-05,177,7493,2.36%,15.5
2026-01-06,146,5758,2.54%,13.6
2026-01-07,157,6330,2.48%,15.2
2026-01-08,158,6179,2.56%,15.6
2026-01-09,171,5933,2.88%,14.9
2026-01-10,181,7072,2.56%,16.6
2026-01-11,191,7095,2.69%,16.6
2026-01-12,165,6975,2.37%,16.2
2026-01-13,139,6190,2.25%,14.6
2026-01-14,144,5964,2.41%,14.9
