Job ID,Location ID,Title,Final URL,Image URL,Subtitle,Description,Category,Contextual keywords,Address,Salary,Tracking template,Custom parameter,Final mobile URL,Android app link,iOS app link,iOS app store ID
503396-A,HCM,営業（国際輸送業務）(募集終了),,,キャリアリンク (仲介求人),日本人のお客様への連絡、アポイントメント、営業活動、フォロー業務など,営業・企画営業（法人向け）,"英語,求人","270 - 272 Cong Hoa, ホーチミン","USD1,500.00 - USD2,000.00",,,,,,
503397-A,,現場常駐管理者(募集終了),,,キャリアリンク (仲介求人),建築現場での工程・品質・安全管理、客先・下請業者との打ち合わせ ハノイ、ホーチミン、ハイフォン近郊などの建築現場（工業団地など）でお仕事をしていただきます。,建築・土木,"英語,海,求人,管理","270 - 272 Cong Hoa, ホーチミン","USD3,000.00 - USD5,000.00",,,,,,
503398-A,,Cadオペレーター業務(募集終了),,,キャリアリンク (仲介求人),Cadで施工図の作成、客先との打ち合わせ。 勤務地はハノイまたはホーチミンです。,CADオペレーター（建築）・製図,"英語,海,求人,管理,新卒,オペレーター","270 - 272 Cong Hoa, ホーチミン","USD3,000.00 - USD5,000.00",,,,,,
503399-A,HD,サービスアパート管理人(募集終了),,,キャリアリンク (仲介求人),サービスアパートメントの支配人。ベトナム人スタッフの採用。 入居者の募集（営業活動）。アパートの運営。,ホテル・宿泊施設サービス,"英語,ホテル,求人,管理","270 - 272 Cong Hoa, ホーチミン","USD1,800.00 - USD2,000.00",,,,,,
503400-A,HN,事務アシスタント(募集終了),,,キャリアリンク (仲介求人),総務を中心とした事務作業のサポート、データ管理、顧客対応サポートなど。,人事・総務,"英語,健康,求人,管理,アシスタント,総務","270 - 272 Cong Hoa, ホーチミン","USD1,300.00 - USD1,500.00",,,,,,
503401-A,HCM,女性日本人複写機営業担当者(ホーチミン)(募集終了),,,キャリアリンク (仲介求人),世界でも有数な日系複写機メーカーでの現地採用でのお仕事になります。 南部（ホーチミン市、ホーチミン市近郊の工業団地）の日系お客様の新規開拓営業を担当していただきます。,営業・企画営業（法人向け）,"英語,営業担当者,求人","270 - 272 Cong Hoa, ホーチミン","USD1,800.00 - USD2,200.00",,,,,,
514612-A,HCM,ゼネラルマネージャー（飲食）,,,キャリアリンク (仲介求人), 店舗管理全般（スタッフの管理・教育、仕入れなど） 新規店舗開発 日本側との連絡,"サービス,飲食 / アミューズメント","求人,管理","270 - 272 Cong Hoa, Tan Binh Dist., ホーチミン","USD2,000.00",,,,,,
543416-A,12,営業マネージャー,,,キャリアリンク (仲介求人),日本人窓口として社内、またお客様対応をする。 １．案件が動き出す前の相談を受け、現地スタッフと連携して、問い合わせに対応する。（例えば、マーケット調査、カンボジア国のルールについてなど。） ２．営業窓口として対応する為、サービス提案・スタッフとの調整・クレーム対応 ３．作業管理・日本人顧客対応 ４．日本語でのレポート作成,"営業・企画営業（法人向け）,営業・企画営業（個人向け）","日本語,英語,管理","No.232 st.274 PHNOM PENH Center, Sangkat Tonle Bassac, Khan Chamkarmon, プノンペン","USD2,500.00 - USD5,000.00",,,,,,
514449-A,HCM,【急募】アパレル生産管理日本人（未経験者可）,,,キャリアリンク (仲介求人),当社は、日本のお客様よりの製造委託をベトナム工場で展開しております。 ホーチミン近郊とベトナム中部で製造委託を行っております。 工場での製造進捗と品質のチェックを行っていただきます。,生産管理,"日本語,管理,急募,労働","270 - 272 Cong Hoa, Tan Binh Dist., ホーチミン","USD2,000.00 - USD2,500.00",,,,,,
550554-A,HCM,【急募】管理部統括部長,,,キャリアリンク (仲介求人),ホーチミン市内にある2000人の製造工場において 経理部門を除く、人事総務部門業務を統括していただきます。 また海外よりの視察のお客様に対しても、英語で工場案内ができる方を募集しております。   +3000から4000ドル（手取り） +海外医療保険（2ヶ月間の試用期間終了後） +住宅手当（最大1500ドルまで） +ボーナス年1回,"経営幹部（CEO・CFO・COO等）,工場生産・製造（輸送用機器・家電・電子機器系）","英語,経理,管理,急募,労働","270 - 272 Cong Hoa, Tan Binh Dist., ホーチミン","USD3,000.00 - USD4,000.00",,,,,,
521764-A,HY,工業団地管理窓口業務(事務),,,キャリアリンク (仲介求人),工業団地に入居の企業様に提供するサービスに関する日本人担当窓口。 例：入居企業様からのご相談・クレーム対応、入居企業様との情報交換会や各種イベントの企画・立案・運営、工業団地の土地使用権販売・貸工場・貸事務所の営業または営業事務、潜在顧客や視察団の受け入れ、工業団地のご説明・ご案内など。,人事・総務,"英語,企画,管理","270 - 272 Cong Hoa, Tan Binh Dist., ホーチミン","USD1,800.00 - USD2,100.00",,,,,,
500782-A,HCM,縫製技術者（工場での技術指導員）,,,キャリアリンク (仲介求人),昨年より韓国企業と合弁で、主にカットソー製品（男女ポロシャツ、Ｔシャツ等）を製造する工場を設立しました。 現地作業員に、縫製の指導をできる方を募集しております。 日本語通訳をつけますので、日本語だけで問題ありません。   根気づよく、丁寧に現地作業員を指導してくれるかたを探しております。   *月曜日～土曜日までの勤務です。,仕入れ・バイヤー,日本語,"270 - 272 Cong Hoa, ホーチミン","USD3,000.00",,,,,,
503406-A,DNI,工場スーパーバイザー（5年以上の実務経験）,,,キャリアリンク (仲介求人),工場で、工場全般を見ていただく、スーパーバイザーの役職についていただきます。,生産管理,"スーパーバイザー,労働","270 - 272 Cong Hoa, ホーチミン",translation missing: ja.web.common.negotiable,,,,,,
